CODGEO;DEP;LIBGEO;Zonage ABC en vigueur depuis le 26 juin 2026
02183;02;Chevregny;C
02184;02;Chevresis-Monceau;C
02185;02;Chézy-en-Orxois;B2
02186;02;Chézy-sur-Marne;C
02187;02;Chierry;B2
02188;02;Chigny;C
02189;02;Chivres-en-Laonnois;C
02190;02;Chivres-Val;C
02191;02;Chivy-lès-Étouvelles;C
02192;02;Chouy;C
02193;02;Cierges;C
02194;02;Cilly;C
02195;02;Ciry-Salsogne;C
02196;02;Clacy-et-Thierret;C
02197;02;Clairfontaine;C
02198;02;Clamecy;C
02199;02;Clastres;C
02200;02;Clermont-les-Fermes;C
02201;02;Cœuvres-et-Valsery;C
02203;02;Coincy;C
02204;02;Coingt;C
02205;02;Colligis-Crandelain;C
02206;02;Colonfay;C
02207;02;Commenchon;C
02208;02;Concevreux;C
02209;02;Condé-en-Brie;C
02210;02;Condé-sur-Aisne;C
02211;02;Condé-sur-Suippe;C
02212;02;Condren;C
02213;02;Connigis;C
02214;02;Contescourt;B2
02215;02;Corbeny;C
02216;02;Corcy;B2
02217;02;Coucy-le-Château-Auffrique;C
02218;02;Coucy-lès-Eppes;C
02219;02;Coucy-la-Ville;C
02220;02;Coulonges-Cohan;C
02221;02;Coupru;B2
02222;02;Courbes;C
02223;02;Courboin;C
02224;02;Courcelles-sur-Vesle;C
02225;02;Courchamps;B2
02226;02;Courmelles;B2
02227;02;Courmont;C
02228;02;Courtemont-Varennes;C
02229;02;Courtrizy-et-Fussigny;C
02230;02;Couvrelles;C
02231;02;Couvron-et-Aumencourt;C
02232;02;Coyolles;B2
02233;02;Cramaille;C
02234;02;Craonne;C
02235;02;Craonnelle;C
02236;02;Crécy-au-Mont;C
02237;02;Crécy-sur-Serre;C
02238;02;Crépy;C
02239;02;Crézancy;C
02240;02;Croix-Fonsomme;C
02241;02;La Croix-sur-Ourcq;C
02242;02;Crouttes-sur-Marne;B2
02243;02;Crouy;B2
02244;02;Crupilly;C
02245;02;Cuffies;B2
02246;02;Cugny;C
02248;02;Cuirieux;C
02249;02;Cuiry-Housse;C
02250;02;Cuiry-lès-Chaudardes;C
02251;02;Cuiry-lès-Iviers;C
02252;02;Cuissy-et-Geny;C
02253;02;Cuisy-en-Almont;C
02254;02;Cutry;C
02255;02;Cys-la-Commune;C
02256;02;Dagny-Lambercy;C
02257;02;Dallon;B2
02258;02;Dammard;B2
02259;02;Dampleux;C
02260;02;Danizy;C
02261;02;Dercy;C
02262;02;Deuillet;C
02263;02;Dhuizel;C
02264;02;Dizy-le-Gros;C
02265;02;Dohis;C
02266;02;Dolignon;C
02267;02;Dommiers;C
02268;02;Domptin;B2
02269;02;Dorengt;C
02270;02;Douchy;C
02271;02;Dravegny;C
02272;02;Droizy;C
02273;02;Dury;C
